forget_set,strategy,budget,tier,n_steps,lr,n_draws,baseline_acc,unlearned_acc_mean,unlearned_acc_std,diff,overall_baseline,overall_unlearned_mean,overall_diff
forget_influence_50.npy,influence,50,majority,50,0.0001,5,0.597499999994025,0.589199999994108,0.025490351353571344,-0.00829999999991704,0.35749999999642507,0.35091999999649093,-0.0065799999999341385
forget_influence_50.npy,influence,50,mid_tail,50,0.0001,5,0.3699999999963,0.367899999996321,0.023343282291336555,-0.0020999999999790075,0.35749999999642507,0.35091999999649093,-0.0065799999999341385
forget_influence_50.npy,influence,50,long_tail,50,0.0001,5,0.27099999999729,0.258466666664082,0.022853243893687803,-0.012533333333207997,0.35749999999642507,0.35091999999649093,-0.0065799999999341385
forget_influence_50.npy,influence,50,safety_critical,50,0.0001,5,0.08699999999913001,0.083799999999162,0.014354298533524493,-0.003199999999968006,0.35749999999642507,0.35091999999649093,-0.0065799999999341385
forget_influence_100.npy,influence,100,majority,50,0.0001,5,0.597499999994025,0.586899999994131,0.0251533925559617,-0.010599999999894028,0.35749999999642507,0.34797999999652013,-0.009519999999904938
forget_influence_100.npy,influence,100,mid_tail,50,0.0001,5,0.3699999999963,0.362399999996376,0.024596635574335318,-0.007599999999924001,0.35749999999642507,0.34797999999652013,-0.009519999999904938
forget_influence_100.npy,influence,100,long_tail,50,0.0001,5,0.27099999999729,0.257133333330762,0.0226169497813028,-0.013866666666528027,0.35749999999642507,0.34797999999652013,-0.009519999999904938
forget_influence_100.npy,influence,100,safety_critical,50,0.0001,5,0.08699999999913001,0.08499999999915,0.013068431904147516,-0.001999999999980004,0.35749999999642507,0.34797999999652013,-0.009519999999904938
forget_influence_200.npy,influence,200,majority,50,0.0001,5,0.597499999994025,0.589199999994108,0.022083698287749483,-0.00829999999991704,0.35749999999642507,0.3509199999964907,-0.006579999999934361
forget_influence_200.npy,influence,200,mid_tail,50,0.0001,5,0.3699999999963,0.36714999999632847,0.026218493500773328,-0.002849999999971542,0.35749999999642507,0.3509199999964907,-0.006579999999934361
forget_influence_200.npy,influence,200,long_tail,50,0.0001,5,0.27099999999729,0.257599999997424,0.02016484845375185,-0.013399999999866019,0.35749999999642507,0.3509199999964907,-0.006579999999934361
forget_influence_200.npy,influence,200,safety_critical,50,0.0001,5,0.08699999999913001,0.089399999999106,0.01662535018680026,0.002399999999975991,0.35749999999642507,0.3509199999964907,-0.006579999999934361
forget_random_50.npy,random,50,majority,50,0.0001,5,0.597499999994025,0.5899999999940999,0.022269278955195194,-0.007499999999925122,0.35749999999642507,0.3493399999965065,-0.008159999999918566
forget_random_50.npy,random,50,mid_tail,50,0.0001,5,0.3699999999963,0.362499999996375,0.025754561669568334,-0.007499999999925011,0.35749999999642507,0.3493399999965065,-0.008159999999918566
forget_random_50.npy,random,50,long_tail,50,0.0001,5,0.27099999999729,0.25799999999742,0.025004187869418014,-0.012999999999870004,0.35749999999642507,0.3493399999965065,-0.008159999999918566
forget_random_50.npy,random,50,safety_critical,50,0.0001,5,0.08699999999913001,0.089399999999106,0.01324627467251956,0.002399999999975991,0.35749999999642507,0.3493399999965065,-0.008159999999918566
forget_random_100.npy,random,100,majority,50,0.0001,5,0.597499999994025,0.5865999999941339,0.023315806188781294,-0.010899999999891108,0.35749999999642507,0.3509799999964901,-0.006519999999934967
forget_random_100.npy,random,100,mid_tail,50,0.0001,5,0.3699999999963,0.366199999996338,0.02649882945276686,-0.0037999999999620004,0.35749999999642507,0.3509799999964901,-0.006519999999934967
forget_random_100.npy,random,100,long_tail,50,0.0001,5,0.27099999999729,0.26033333333073,0.02015569528781406,-0.01066666666656002,0.35749999999642507,0.3509799999964901,-0.006519999999934967
forget_random_100.npy,random,100,safety_critical,50,0.0001,5,0.08699999999913001,0.090799999999092,0.012034981202357475,0.0037999999999619866,0.35749999999642507,0.3509799999964901,-0.006519999999934967
forget_random_200.npy,random,200,majority,50,0.0001,5,0.597499999994025,0.583199999994168,0.026948492401077197,-0.014299999999856983,0.35749999999642507,0.3487799999965122,-0.008719999999912853
forget_random_200.npy,random,200,mid_tail,50,0.0001,5,0.3699999999963,0.36199999999638,0.027209901514125372,-0.007999999999920016,0.35749999999642507,0.3487799999965122,-0.008719999999912853
forget_random_200.npy,random,200,long_tail,50,0.0001,5,0.27099999999729,0.2614666666640519,0.020342928788188948,-0.009533333333238136,0.35749999999642507,0.3487799999965122,-0.008719999999912853
forget_random_200.npy,random,200,safety_critical,50,0.0001,5,0.08699999999913001,0.08899999999911001,0.011267064971224278,0.001999999999980004,0.35749999999642507,0.3487799999965122,-0.008719999999912853
