forget_set,strategy,budget,tier,n_steps,n_draws,baseline_acc,unlearned_acc_mean,unlearned_acc_std_corrected,diff,diff_over_std,overall_baseline
forget_influence_50.npy,influence,50,majority,50,5,0.597499999994025,0.589199999994108,0.005529466520324465,-0.00829999999991704,1.5010489654669257,0.35749999999642507
forget_influence_50.npy,influence,50,mid_tail,50,5,0.3699999999963,0.36789999999632095,0.003248076353749843,-0.002099999999979063,0.6465365253974564,0.35749999999642507
forget_influence_50.npy,influence,50,long_tail,50,5,0.27099999999729,0.258466666664082,0.0049418844808164055,-0.012533333333207997,2.5361445379511327,0.35749999999642507
forget_influence_50.npy,influence,50,safety_critical,50,5,0.08699999999913001,0.08379999999916199,0.004764451699780991,-0.00319999999996802,0.6716407682577862,0.35749999999642507
forget_influence_100.npy,influence,100,majority,50,5,0.597499999994025,0.5868999999941309,0.0038470768122958114,-0.010599999999894139,2.755338798023219,0.35749999999642507
forget_influence_100.npy,influence,100,mid_tail,50,5,0.3699999999963,0.362399999996376,0.006523036102854915,-0.007599999999924001,1.1651016306038433,0.35749999999642507
forget_influence_100.npy,influence,100,long_tail,50,5,0.27099999999729,0.257133333330762,0.007425930543934624,-0.013866666666528027,1.867330509555343,0.35749999999642507
forget_influence_100.npy,influence,100,safety_critical,50,5,0.08699999999913001,0.08499999999915,0.003999999999959996,-0.001999999999980004,0.5000000000000016,0.35749999999642507
forget_influence_200.npy,influence,200,majority,50,5,0.597499999994025,0.589199999994108,0.005057173123345548,-0.00829999999991704,1.6412331153152646,0.35749999999642507
forget_influence_200.npy,influence,200,mid_tail,50,5,0.3699999999963,0.3671499999963285,0.0061634000356329596,-0.0028499999999714865,0.46240711027915643,0.35749999999642507
forget_influence_200.npy,influence,200,long_tail,50,5,0.27099999999729,0.257599999997424,0.0048039335733663395,-0.013399999999866019,2.7893807845631837,0.35749999999642507
forget_influence_200.npy,influence,200,safety_critical,50,5,0.08699999999913001,0.089399999999106,0.004277849927198708,0.002399999999975991,0.5610294986546193,0.35749999999642507
forget_random_50.npy,random,50,majority,50,5,0.597499999994025,0.5899999999940999,0.0035881750235658653,-0.007499999999925122,2.0901990428749357,0.35749999999642507
forget_random_50.npy,random,50,mid_tail,50,5,0.3699999999963,0.36249999999637506,0.005329751401278717,-0.007499999999924956,1.4071950894605614,0.35749999999642507
forget_random_50.npy,random,50,long_tail,50,5,0.27099999999729,0.25799999999742,0.00959455864298688,-0.012999999999870004,1.3549346544848442,0.35749999999642507
forget_random_50.npy,random,50,safety_critical,50,5,0.08699999999913001,0.089399999999106,0.0048785243670114,0.002399999999975991,0.491952037014471,0.35749999999642507
forget_random_100.npy,random,100,majority,50,5,0.597499999994025,0.5865999999941339,0.005705260730181252,-0.010899999999891108,1.9105174181136544,0.35749999999642507
forget_random_100.npy,random,100,mid_tail,50,5,0.3699999999963,0.366199999996338,0.006096617914816078,-0.0037999999999620004,0.6232964002430252,0.35749999999642507
forget_random_100.npy,random,100,long_tail,50,5,0.27099999999729,0.26033333333073,0.006293735862770116,-0.01066666666656002,1.6948068522636108,0.35749999999642507
forget_random_100.npy,random,100,safety_critical,50,5,0.08699999999913001,0.09079999999909198,0.00396232255119217,0.0037999999999619727,0.959033483737623,0.35749999999642507
forget_random_200.npy,random,200,majority,50,5,0.597499999994025,0.5831999999941679,0.002752271788877079,-0.014299999999857094,5.195707799516218,0.35749999999642507
forget_random_200.npy,random,200,mid_tail,50,5,0.3699999999963,0.36199999999638,0.0030103986446679528,-0.007999999999920016,2.657455355319699,0.35749999999642507
forget_random_200.npy,random,200,long_tail,50,5,0.27099999999729,0.26146666666405205,0.0038485206392606286,-0.00953333333323797,2.477142316968189,0.35749999999642507
forget_random_200.npy,random,200,safety_critical,50,5,0.08699999999913001,0.08899999999911,0.0056568542494358125,0.00199999999997999,0.35355339059327195,0.35749999999642507
