forget_set,strategy,budget,tier,alpha,n_draws,baseline_acc,unlearned_acc_mean,unlearned_acc_std,diff,overall_baseline,overall_unlearned_mean,overall_diff
forget_influence_50.npy,influence,50,majority,0.001,5,0.597499999994025,0.5867999999941318,0.02668390399654033,-0.01069999999989324,0.35749999999642507,0.34125999999658746,-0.016239999999837607
forget_influence_50.npy,influence,50,mid_tail,0.001,5,0.3699999999963,0.3483499999965165,0.027190528177021646,-0.02164999999978351,0.35749999999642507,0.34125999999658746,-0.016239999999837607
forget_influence_50.npy,influence,50,long_tail,0.001,5,0.27099999999729,0.2533333333308,0.02416819937251214,-0.017666666666490027,0.35749999999642507,0.34125999999658746,-0.016239999999837607
forget_influence_50.npy,influence,50,safety_critical,0.001,5,0.08699999999913001,0.085599999999144,0.01493177350696644,-0.0013999999999860097,0.35749999999642507,0.34125999999658746,-0.016239999999837607
forget_influence_100.npy,influence,100,majority,0.001,5,0.597499999994025,0.579099999994209,0.03242497956805933,-0.018399999999816008,0.35749999999642507,0.3361399999966385,-0.02135999999978655
forget_influence_100.npy,influence,100,mid_tail,0.001,5,0.3699999999963,0.34339999999656595,0.03361039722021967,-0.02659999999973406,0.35749999999642507,0.3361399999966385,-0.02135999999978655
forget_influence_100.npy,influence,100,long_tail,0.001,5,0.27099999999729,0.246799999997532,0.029494106519544726,-0.024199999999758026,0.35749999999642507,0.3361399999966385,-0.02135999999978655
forget_influence_100.npy,influence,100,safety_critical,0.001,5,0.08699999999913001,0.08919999999910799,0.019521014170623095,0.0021999999999779835,0.35749999999642507,0.3361399999966385,-0.02135999999978655
forget_influence_200.npy,influence,200,majority,0.001,5,0.597499999994025,0.5841999999941581,0.03189124367116079,-0.013299999999866974,0.35749999999642507,0.3410599999965893,-0.016439999999835753
forget_influence_200.npy,influence,200,mid_tail,0.001,5,0.3699999999963,0.350099999996499,0.02985692959978179,-0.01989999999980102,0.35749999999642507,0.3410599999965893,-0.016439999999835753
forget_influence_200.npy,influence,200,long_tail,0.001,5,0.27099999999729,0.25106666666415595,0.028188759347486207,-0.019933333333134073,0.35749999999642507,0.3410599999965893,-0.016439999999835753
forget_influence_200.npy,influence,200,safety_critical,0.001,5,0.08699999999913001,0.088599999999114,0.019516936953698993,0.0015999999999839892,0.35749999999642507,0.3410599999965893,-0.016439999999835753
forget_random_50.npy,random,50,majority,0.001,5,0.597499999994025,0.5793999999942059,0.03276698837273322,-0.01809999999981915,0.35749999999642507,0.33905999999660935,-0.018439999999815715
forget_random_50.npy,random,50,mid_tail,0.001,5,0.3699999999963,0.346699999996533,0.029337034005142305,-0.023299999999767007,0.35749999999642507,0.33905999999660935,-0.018439999999815715
forget_random_50.npy,random,50,long_tail,0.001,5,0.27099999999729,0.25306666666413596,0.02762932617132145,-0.017933333333154056,0.35749999999642507,0.33905999999660935,-0.018439999999815715
forget_random_50.npy,random,50,safety_critical,0.001,5,0.08699999999913001,0.08579999999914201,0.020597553270277312,-0.0011999999999880023,0.35749999999642507,0.33905999999660935,-0.018439999999815715
forget_random_100.npy,random,100,majority,0.001,5,0.597499999994025,0.580699999994193,0.02640378632995663,-0.01679999999983206,0.35749999999642507,0.3424199999965758,-0.01507999999984927
forget_random_100.npy,random,100,mid_tail,0.001,5,0.3699999999963,0.354299999996457,0.030265542949838842,-0.015699999999843006,0.35749999999642507,0.3424199999965758,-0.01507999999984927
forget_random_100.npy,random,100,long_tail,0.001,5,0.27099999999729,0.2514666666641519,0.02869561311050896,-0.019533333333138114,0.35749999999642507,0.3424199999965758,-0.01507999999984927
forget_random_100.npy,random,100,safety_critical,0.001,5,0.08699999999913001,0.09119999999908801,0.019242885946178075,0.004199999999958001,0.35749999999642507,0.3424199999965758,-0.01507999999984927
forget_random_200.npy,random,200,majority,0.001,5,0.597499999994025,0.579599999994204,0.031238990672868887,-0.01789999999982106,0.35749999999642507,0.3385199999966148,-0.01897999999981026
forget_random_200.npy,random,200,mid_tail,0.001,5,0.3699999999963,0.34614999999653845,0.0311656516163064,-0.023849999999761562,0.35749999999642507,0.3385199999966148,-0.01897999999981026
forget_random_200.npy,random,200,long_tail,0.001,5,0.27099999999729,0.25326666666413394,0.031304019711808455,-0.017733333333156076,0.35749999999642507,0.3385199999966148,-0.01897999999981026
forget_random_200.npy,random,200,safety_critical,0.001,5,0.08699999999913001,0.081599999999184,0.012034614398338006,-0.0053999999999460035,0.35749999999642507,0.3385199999966148,-0.01897999999981026
